folder,file,title,axis,thesis,concepts,bridge_claim_status,required_next_evidence,claim_use_allowed
International Relations Theory,Chinas Trade Patterns and International Comparative Advantage.pdf,China's Trade Patterns and International Comparative Advantage,empirical,An econometric analysis of China's trade patterns and the sources of its international comparative advantage in the context of economic reform and global integration.,comparative advantage; trade patterns; econometric modeling; commercial policy; Chinese economic reform; international trade,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Classical and Modern Thought on International Relations.pdf,Classical and Modern Thought on International Relations: From Anarchy to Cosmopolis,theory,"International relations thought evolves from classical realist conceptions of anarchy toward modern cosmopolitan frameworks that emphasize justice, obligation, and solidarity in world affairs.",realism; sovereignty; international obligation; diplomacy; cosmopolitanism; justice,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Classical_and_Modern_Thought_on_International_Rela.pdf,Classical and Modern Thought on International Relations: From Anarchy to Cosmopolis,theory,"The book traces the evolution of international relations theory from classical realist thought through modern cosmopolitan and solidarist perspectives, examining how thinkers have grappled with the tension between state sovereignty and universal principles of justice.",Realism and state sovereignty; Diplomatic theory and practice; International obligation and law; Cosmopolitanism and global justice; Solidarism in world affairs,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Classical_theory_in_international_relations.pdf,Classical Theory in International Relations,theory,Classical political theorists are frequently misinterpreted in International Relations scholarship when their work is extracted from its original intellectual and historical contexts and appropriated into contemporary theoretical schools.,contextual interpretation of classical texts; intellectual history and appropriation trajectories; sovereignty and international law; morality in international relations; imperialism and agency,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Clausewitzs Puzzle The Political Theory of War.pdf,Clausewitz's Puzzle: The Political Theory of War,theory,Clausewitz's theory of war resolves the apparent contradiction between absolute war and limited war through the primacy of politics as the governing logic of military conflict.,political theory of war; wondrous trinity; absolute versus limited war; polarity and antithesis; logic and grammar of war; attack and defence asymmetry,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Coercion_Cooperation_and_Ethics_in_International.pdf,"Coercion, Cooperation, and Ethics in International Relations",mixed,"International relations theory must integrate ethical reasoning with strategic analysis of coercion, deterrence, and cooperation to understand state behavior and international outcomes.",deterrence and coercive bargaining; international cooperation; ethics in statecraft; cognitive closure in crisis; constructivist approaches to IR,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Communitarian International Relations.pdf,Communitarian International Relations: The Epistemic Foundations of International Relations,theory,"International relations evolve through communities of practice that mediate between individual and state agency and social structures, embedding collective meanings and social practices that explain why certain ideas become human practices.",communities of practice; constructivism; epistemic communities; security communities; collective knowledge; social structures,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Conceptualizing_the_west_in_international_relation.pdf,Conceptualizing the West in International Relations: From Spengler to Said,theory,"The book traces how Western identity has been conceptualized across major international relations theories and thinkers, from civilizational frameworks to postcolonial critique, to understand how the West functions as a category in shaping global order.",Civilizational analysis; Western identity; International relations theory; Orientalism and postcolonial critique; Cultural world order; Civilizational conflict,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Constructing_global_civil_society.pdf,Constructing Global Civil Society: Morality and Power in International Relations,theory,"The book critically examines how global civil society is constructed through normative claims about morality and international intervention, analyzing the relationship between power and moral authority in contemporary international relations.",global civil society; constructivism; international intervention; cosmopolitanism; moral authority; NGOs and transnational actors,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Converging_Regions.pdf,Converging Regions: Global Perspectives on Asia and the Middle East,mixed,"Regional interactions between Asia and the Middle East are reshaping international political economy through finance, resources, geopolitics, and transnational networks that challenge traditional state-centric and Western-dominated frameworks.",New regionalism; International political economy; Geopolitical competition; Economic interdependence; Regional institutions,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Critical_practices_of_international_theory.pdf,Critical Practices in International Theory,theory,"International theory must adopt a critical pluralist approach that interrogates the discourses, technologies, and practices structuring global politics, from diplomacy and security to media and simulation.",poststructuralist theory; diplomacy and estrangement; security discourse; military-entertainment-media matrix; simulation and surveillance; critical pluralism,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Culture_and_IR.pdf,"Culture and International Relations: Narratives, Natives and Tourists",theory,"Culture has been a significant but often unacknowledged force throughout international relations history, evolving from fostering mutual understanding to representing clashing ways of life, yet the concept itself remains contested and its universal applicability questionable.",humanist concept of culture; anthropological concept of culture; cultural internationalism; clash of cultures; cultural identity in IR; contextual methodology,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Democratic Wars Looking at the Dark Side of Democratic Peace.pdf,Democratic Wars: Looking at the Dark Side of Democratic Peace,theory,"Democracies engage in war despite the democratic peace theory, warranting examination of the mechanisms and conditions under which democratic states resort to military force.",democratic peace theory; democratic war; military interventions; international relations theory; identity and otherness; democratic state behavior,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Deterrence_Now.pdf,Deterrence Now,theory,"Deterrence theory requires fundamental revision to address post-Cold War conditions, nuclear proliferation, and emerging military capabilities, with greater emphasis on general deterrence and collective security actors.",deterrence theory; nuclear proliferation; general vs. immediate deterrence; collective security; revolution in military affairs; retaliatory threats,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Economic Sanctions vs Soft Power Lessons from North Korea Myanmar and the Middle East.pdf,"Economic Sanctions vs. Soft Power: Lessons From North Korea, Myanmar, and the Middle East",empirical,"Economic sanctions and soft power represent competing foreign policy approaches with markedly different outcomes for target nations, as demonstrated through comparative analysis of North Korea, Myanmar, and Middle Eastern cases.",economic sanctions; soft power; foreign direct investment; international engagement; policy effectiveness; sanctions regimes,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Economics_of_War_and_Peace.pdf,"Economics of War and Peace: Economic, Legal, and Political Perspectives",mixed,"Economic factors, institutions, and policies shape conflict dynamics and peace-building across state and sub-state levels, requiring interdisciplinary analysis of markets, governance, and development.",peace economics; conflict-development nexus; institutional governance; arms trade and proliferation; post-conflict financing,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Empire of Civil Society A Critique of the Realist Theory of International Relations.pdf,The Empire of Civil Society: A Critique of the Realist Theory of International Relations,theory,"Realist theory of international relations, despite its dominance, fundamentally misunderstands the state and international system by ignoring the historical development of capitalism and civil society as structuring forces.",realism critique; civil society; social structures; state formation; capitalism and geopolitics; raison d'état; sovereignty,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,English_school_of_IR.pdf,The English School of International Relations: A Contemporary Reassessment,theory,"The English School offers a distinctive approach to international politics that emphasizes coexistence and cooperation alongside conflict between sovereign states, grounded in epistemological and methodological foundations that include sociology of states-systems and conceptions of good international citizenship.",English School theory; international society; states-systems; coexistence and cooperation; good international citizenship; Kantian thought; world politics progress,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Ethics liberalism & realism in international relations.pdf,"Ethics, Liberalism and Realism in International Relations",theory,"Liberalism and realism both fail to integrate ethical and pragmatic dimensions of foreign policy, but a covenant-based paradigm can reconcile realist insights about political tragedy with the moral commitments necessary for democratic flourishing.",liberal social contract theory; realist international relations; covenant paradigm; ethics in statecraft; democratic moral community,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,European_approaches_to_IR_theory.pdf,European Approaches to International Relations Theory: A House with Many Mansions,mixed,European IR scholars offer distinct theoretical perspectives that challenge American-dominated mainstream IR theory and warrant integration into global academic discourse.,Knowledge production in IR communities; European schools of thought; Disciplinary pluralism; Continental theorizing; IR institutionalization,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Feminist_IR.pdf,Feminist International Relations: An Unfinished Journey,mixed,"Feminism has fundamentally transformed International Relations scholarship over fifteen years, and feminist methodologies reveal gender's presence and effects in international politics while charting future directions for the field.",gender in international politics; feminist methodology; postcolonial perspectives; identity and agency; IR theory critique,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Feminist_methodologies_for_IR.pdf,Feminist Methodologies for International Relations,method,"Feminist research in international relations requires distinctive methodologies and methods that integrate ontological, epistemological, and practical considerations to challenge and expand how IR scholarship is conducted.",Feminist epistemology; Research methodology and method; Gender analysis in IR; Fieldwork and ethnography; Marginalized identities and silences; Normative theory and ethics of care,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Fifty_key_thinkers_IR_2nd_ed.pdf,Fifty Key Thinkers in International Relations,theory,"A comprehensive survey of fifty influential theorists and schools of thought that have shaped international relations theory, spanning realism, liberalism, constructivism, critical theory, and the English School.",Realism; Liberalism; Constructivism; Critical Theory; English School; International cooperation; State behavior,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Fighting for Status Hierarchy and Conflict in World Politics.pdf,Fighting for Status: Hierarchy and Conflict in World Politics,theory,Status dissatisfaction and concerns over hierarchical position in the international system are significant drivers of conflict initiation and escalation among states.,status hierarchy; status dissatisfaction; international conflict; power and prestige; status networks; escalation dynamics,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Fourth United Nations Seminar on the Question of Palestine Havana 31 Aug-4 Sept 1981.pdf,Fourth United Nations Seminar on the Question of Palestine,empirical,A 1981 UN seminar convened to advance international recognition of the inalienable rights of the Palestinian people through scholarly analysis and policy advocacy.,Palestinian inalienable rights; Israeli settlements and occupation; Palestinian national self-determination; International human rights law; Non-aligned solidarity,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,From empire to community.pdf,From Empire to Community: A New Approach to International Relations,theory,"The United States and the West must transition from unilateral imperial approaches to cooperative community-based frameworks for global governance, grounded in a universal moral synthesis that balances liberty, social order, and restraint.",Global normative synthesis; Community-based international relations; Service learning approach; Moral dialogue; Global safety architecture; Restraint in power use,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Future_of_international_relations.pdf,The Future of International Relations: Masters in the Making?,theory,Contemporary international relations theory is best understood through detailed examination of individual theorists' complete bodies of work rather than through abstract paradigms or schools of thought.,International relations theory; Realism and neorealism; Institutionalism; Constructivism; English School; Critical theory,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Global International Society A New Framework For Analysis Buzan Barry.pdf,Global International Society: A New Framework for Analysis,theory,"International society is structured through multiple forms of differentiation—geographic, hierarchical, and functional—which better explains contemporary global dynamics than the classical English School's assumption of like-units.",differentiation theory; primary institutions; English School approach; international versus world society; state hierarchy and privilege; functional specialization,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Global International Society Buzan Barry.pdf,Global International Society: A New Framework for Analysis,theory,"The English School's international society framework can be systematized and extended through differentiation theory to explain how state diversity, regional variations, hierarchies, and functional specialization structure contemporary global international society.",English School theory; differentiation theory; primary institutions; international society expansion; regional and functional differentiation; hierarchy and privilege in IR,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Global_Economic_Disparity.pdf,Global Economic Disparity: A Dynamic Force in Geoeconomic Competition of Superpowers,mixed,"Global economic disparities between developed and developing nations shape geopolitical competition among superpowers through international trade, finance, and competition for critical resources.",economic development; geoeconomic competition; international trade and finance; resource scarcity; technological capability; superpowers,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Global_Ethics.pdf,"Global Ethics: Anarchy, Freedom and International Relations",theory,"International relations and global politics must be understood fundamentally in ethical terms rather than as struggles for power, as international actors constitute one another through global social practices underpinned by specific ethical commitments.",ethical engagement in international relations; global civil society; social practices and actors; international ethics; freedom and anarchy; normative theory,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Global_Geostrategy.pdf,Global Geostrategy: Mackinder and the Defence of the West,theory,"Halford Mackinder's 1904 'Geographical Pivot of History' thesis remains a foundational framework for understanding geostrategic competition and power dynamics in international relations, with enduring relevance to contemporary geopolitics and Western strategic defence.",Heartland theory; Geographical determinism in geopolitics; Great power competition; Imperial strategy; Territorial control and power projection,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Global_Orders_and_Civilizations.pdf,"Global Orders and Civilizations: Perspectives from History, Philosophy and International Relations",mixed,"The book examines how civilizations and cultural frameworks shape global orders, integrating historical, philosophical, and international relations perspectives to move beyond insufficient theorization of civilization-level analysis in IR.",civilization; global orders; world systems; international relations theory; macro-sociology; historical systems; cultural frameworks,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Global_politics_of_power_justice_and_death.pdf,"The Global Politics of Power, Justice and Death: An Introduction to International Relations",mixed,"Global change results from the interaction of power, ideology, interests, and structural factors that determine outcomes on critical issues from environmental degradation to war and international justice.",Global Change Map; state sovereignty and decline; international political economy; power and influence dynamics; environmental governance; international law and institutions,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Handbook_of_International_Relations.pdf,Handbook of International Relations,mixed,"A comprehensive state-of-the-art survey of international relations scholarship covering historical foundations, major theories, and contemporary research topics across the discipline.","IR theory and theoretical traditions; Normative and critical approaches; International institutions and law; Transnational dynamics and diffusion; Regional analysis and geopolitics; Identity, nationalism, and religion; Security and conflict studies",provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Handbook_of_Political_Theory.pdf,Handbook of Political Theory,theory,"A comprehensive survey of major approaches, methodologies, and theoretical frameworks that constitute contemporary political theory across multiple traditions and schools of thought.",ideology and political philosophy; textual interpretation and history; liberalism and libertarianism; marxism; postmodern approaches; positive political theory,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Hidden_history_of_realism.pdf,The Hidden History of Realism: A Genealogy of Power Politics,theory,"Realism in International Relations has a genealogical history distinct from its contemporary paradigmatic framing, rooted in critiques of modernity and complex understandings of power that have been obscured by later systematization.",power politics; realism; genealogy; balance of power; international society; contramodern critique,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,History & international relations.pdf,History and International Relations,method,"International relations scholarship often employs narrow, deterministic historical readings that obscure the contingency and moral choice inherent in international politics, and greater methodological rigor from historiographic theory is needed.",historical methodology in IR; interpretation and selection bias; realism and historical contingency; quantitative vs. qualitative history; postmodernism and IR theory,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,History_&_international_relations.pdf,History and International Relations,method,"International relations scholarship often employs narrow and deterministic historical interpretations that obscure the contingency and moral complexity of international politics, revealing a need for greater historiographic rigor in the field.",historiographic theory and method; historical interpretation and bias; realism in IR theory; quantitative and structural analysis; postmodernism and contingency; history in foreign policy,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Human_rights_in_IR.pdf,Human Rights in International Relations,mixed,"Human rights norms persist and shape international politics through soft law, non-state actors, and evolving state sovereignty, despite competing realist pressures.",human rights norms and standards; soft law and international law; non-governmental organizations; state sovereignty; transnational policy-making; transitional justice,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,IR Theory Historical Analogy and Major Power War.pdf,"IR Theory, Historical Analogy, and Major Power War",mixed,"International relations theory must incorporate historical analogy and critical comparative analysis to understand major power conflict, moving beyond polarity-based models toward engaged diplomacy and alternative institutional arrangements.",alternative realism; historical analogy; polarity and sovereignty; alliance formation and encirclement; multilateral security arrangements,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,IR and philosophy of history.pdf,International Relations and the Philosophy of History: A Civilizational Approach,theory,International relations theory must integrate philosophical approaches to history and adopt a civilizational framework to understand the long-term patterns and structures underlying international systems.,philosophy of history; civilizational analysis; international system; longue durée; historiography; theory construction,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,IR key concepts.pdf,International Relations: The Key Concepts,method,"A comprehensive reference guide to the essential concepts, themes, and debates in international relations, updated for the post-9/11 era.",sovereignty; globalization; international law; strategic studies; human rights; terrorism; multilateralism,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,IR_and_philosophy_of_history.pdf,International Relations and the Philosophy of History: A Civilizational Approach,mixed,"International relations theory must integrate philosophical and historical perspectives, particularly civilizational analysis spanning the longue durée, to understand the modern international system beyond purely positivist frameworks.",civilizational analysis; philosophy of history; longue durée; modern international system; historiography; international relations theory,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Idealism and realism international relations.pdf,Idealism and Realism in International Relations: Beyond the Discipline,theory,"Idealism and realism constitute fundamental philosophical faultlines rather than paradigms in International Relations theory, and their irreconcilability should be acknowledged rather than suppressed in disciplinary accounts.",idealism versus realism philosophical divide; paradigm versus faultline distinction; essential contestability in IR theory; competing visions of progress; national differences in theoretical approaches; disciplinary consolidation and diversity,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Ideology_and_International_relations.pdf,Ideology and International Relations in the Modern World,theory,"Ideology has been a decisive force shaping interstate politics and international behavior from the French Revolution to the present, operating alongside and often against realist interests.","ideology and foreign policy; nationalism and internationalism; totalitarian doctrines (Marxism-Leninism, Fascism, Nazism); liberalism and conservatism in IR; raison d'état and belief systems; propaganda and mass democracy",provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International Political Economy.pdf,International Political Economy,mixed,"An edited collection examining the interconnections between governance, economic policy, and globalization across diverse national contexts and economic sectors.",fiscal policy and growth; foreign direct investment; financial globalization; international competitiveness; trade liberalization; innovation policy; regional economic integration,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International Relations and the Philosophy of History.pdf,International Relations and the Philosophy of History: A Civilizational Approach,theory,International relations theory must be grounded in philosophical history and civilizational analysis rather than ahistorical or Eurocentric frameworks.,civilizational approach; philosophy of history; historiography; modern international system; universal history; longue durée,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International Theory Positivism and Beyond.pdf,International Theory: Positivism and Beyond,theory,"The book examines whether international theory has moved beyond its positivist phase by analyzing traditional approaches, marginalized issues, and emerging theoretical developments including historical sociology, post-structuralism, feminism, and critical theory.",positivism in international relations; realism and pluralism; historical sociology; post-structuralism; feminist theory; critical theory,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International relations theory 2nd ed.pdf,International Relations Theory: A Critical Introduction,theory,"Major international relations theories—realism, idealism, liberalism, constructivism, postmodernism, gender, and globalization—rest on myths and assumptions that can be critically examined through popular film narratives.",realism and neorealism; idealism and neoliberalism; constructivism; gender and feminism; globalization; international anarchy; myth function,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International relations theory 3rd ed.pdf,International Relations Theory: A Critical Introduction,theory,"International relations theories can be understood and critically examined by analyzing how their core arguments are constructed and mythologized, illustrated through popular films.",realism and neo-realism; idealism and liberalism; constructivism; postmodernism and gender theory; globalization and environmentalism,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_Frontiers_and_Boundaries.pdf,"International Frontiers and Boundaries: Law, Politics and Geography",mixed,"International land boundaries are shaped by the interplay of legal principles, political interests, and geographical constraints, with dispute resolution requiring understanding of how law, politics, and cartography intersect across different world regions.",Boundary demarcation and delimitation; Frontier evolution and territoriality; International law and territorial rights; Cartographic evidence and mapping; Regional boundary disputes; River boundaries and maritime zones,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_Politics.pdf,"International Politics: Concepts, Theories and Issues",mixed,"A comprehensive examination of the foundational concepts, theoretical frameworks, and contemporary issues that structure the study of international relations and state behavior in the global system.",nation-state system; national power and balance of power; collective security; national interest; diplomacy; colonialism and decolonization,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_Security_and_the_United_States.pdf,International Security and the United States: An Encyclopedia,empirical,A comprehensive reference work examining international security issues and U.S. foreign relations across diverse geographic regions and actors.,international security; U.S. foreign policy; regional geopolitics; conflict and stability; transnational threats,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_Society_and_Its_Critics.pdf,International Society and Its Critics,theory,The English School approach to international relations requires critical engagement with alternative theoretical perspectives to clarify its continuing relevance and contributions to understanding post-Cold War world politics.,English School theory; international society; critical theory engagement; realism; postmodern approaches,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_law_and_international_relations.pdf,International Law and International Relations,mixed,International law and international relations scholars and policymakers can productively engage in interdisciplinary collaboration to address contemporary policy challenges at the intersection of law and politics.,interdisciplinary scholarship; non-state actors; state weakness and illegitimacy; international criminal accountability; terrorism and security governance; small arms proliferation,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_politics_judicial_intervention.pdf,The International Politics of Judicial Intervention,mixed,"Judicial intervention mechanisms for international justice create normative tensions with state sovereignty and non-intervention principles, generating variable state compliance and resistance.",judicial intervention; state sovereignty; international norms; international criminal justice; human rights law,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_relations_political_theory.pdf,"International Relations, Political Theory and the Problem of Order: Beyond International Relations Theory?",theory,"International Relations theory has become separated from political theory to mutual detriment, and must reconsider how different methodological approaches address the fundamental problem of order in international politics.",problem of order; balance of power; international society; institutional approaches; emancipation; global governance; Cold War trajectories,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,International_relations_theory_for_21st_century.pdf,International Relations Theory for the Twenty-First Century,theory,"IR theory encompasses diverse schools—realism, liberalism, Marxism, constructivism, feminism, poststructuralism, and postcolonialism—each offering distinct frameworks for understanding international politics in the contemporary era.",realism; liberal internationalism; constructivism; poststructuralism; feminism; postcolonialism; international political economy,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
